date,year,month,day,hour,camera_id,Gender,Input,Output,Age00,Age10,Age20,Age30,Age40,Age50,Age60,Age70,NaN
2022-04-02 16:00:00,2022,4,2,16,1,2,63,109,0,0,0,0,0,0,0,0,0
2022-04-02 17:00:00,2022,4,2,17,1,0,70,4,0,2,4,9,20,27,12,0,0
2022-04-02 17:00:00,2022,4,2,17,1,1,54,1,0,5,9,24,14,3,0,0,0
2022-04-02 17:00:00,2022,4,2,17,1,2,60,208,0,0,0,0,0,0,0,0,0
2022-04-02 18:00:00,2022,4,2,18,1,0,68,5,0,3,3,14,32,18,3,0,0
2022-04-02 18:00:00,2022,4,2,18,1,1,68,0,0,3,11,20,22,10,2,0,0
2022-04-02 18:00:00,2022,4,2,18,1,2,54,172,0,0,0,0,0,0,0,0,0
2022-04-02 19:00:00,2022,4,2,19,1,0,68,8,0,2,22,24,15,9,4,0,0
2022-04-02 19:00:00,2022,4,2,19,1,1,63,6,1,6,35,21,3,2,1,0,0
2022-04-02 19:00:00,2022,4,2,19,1,2,72,114,0,0,0,0,0,0,0,0,0
2022-04-02 20:00:00,2022,4,2,20,1,0,72,22,1,2,28,36,17,9,1,0,0
2022-04-02 20:00:00,2022,4,2,20,1,1,77,12,1,16,42,19,4,5,2,0,0
2022-04-02 20:00:00,2022,4,2,20,1,2,107,140,0,0,0,0,0,0,0,0,0
2022-04-02 21:00:00,2022,4,2,21,1,0,114,32,0,6,31,55,32,15,5,2,0
2022-04-02 21:00:00,2022,4,2,21,1,1,87,19,0,5,44,32,15,7,3,0,0
2022-04-02 21:00:00,2022,4,2,21,1,2,97,137,0,0,0,0,0,0,0,0,0
2022-04-02 22:00:00,2022,4,2,22,1,0,74,14,0,1,20,30,22,8,6,1,0
2022-04-02 22:00:00,2022,4,2,22,1,1,55,14,0,5,26,28,5,3,2,0,0
2022-04-02 22:00:00,2022,4,2,22,1,2,64,109,0,0,0,0,0,0,0,0,0
2022-04-02 23:00:00,2022,4,2,23,1,0,51,0,0,4,11,19,10,6,1,0,0
2022-04-02 23:00:00,2022,4,2,23,1,1,42,0,1,3,14,20,3,1,0,0,0
2022-04-02 23:00:00,2022,4,2,23,1,2,50,57,0,0,0,0,0,0,0,0,0
2022-04-03 00:00:00,2022,4,3,0,1,0,21,1,0,1,5,9,6,1,0,0,0
2022-04-03 00:00:00,2022,4,3,0,1,1,28,2,0,4,16,8,2,0,0,0,0
2022-04-03 00:00:00,2022,4,3,0,1,2,30,46,0,0,0,0,0,0,0,0,0
2022-04-03 01:00:00,2022,4,3,1,1,0,13,1,0,4,2,3,3,2,0,0,0
2022-04-03 01:00:00,2022,4,3,1,1,1,17,0,0,3,5,7,2,0,0,0,0
2022-04-03 01:00:00,2022,4,3,1,1,2,26,21,0,0,0,0,0,0,0,0,0
2022-04-03 02:00:00,2022,4,3,2,1,0,5,0,1,0,3,1,0,0,0,0,0
2022-04-03 02:00:00,2022,4,3,2,1,1,8,0,0,0,3,4,1,0,0,0,0
2022-04-03 02:00:00,2022,4,3,2,1,2,14,37,0,0,0,0,0,0,0,0,0
2022-04-03 03:00:00,2022,4,3,3,1,0,5,0,0,1,0,3,1,0,0,0,0
2022-04-03 03:00:00,2022,4,3,3,1,1,3,0,0,0,2,0,1,0,0,0,0
2022-04-03 03:00:00,2022,4,3,3,1,2,3,17,0,0,0,0,0,0,0,0,0
2022-04-03 04:00:00,2022,4,3,4,1,0,2,0,0,0,1,0,0,1,0,0,0
2022-04-03 04:00:00,2022,4,3,4,1,1,0,0,0,0,0,0,0,0,0,0,0
2022-04-03 04:00:00,2022,4,3,4,1,2,6,13,0,0,0,0,0,0,0,0,0
2022-04-03 05:00:00,2022,4,3,5,1,0,5,0,0,0,0,1,2,2,0,0,0
2022-04-03 05:00:00,2022,4,3,5,1,1,4,0,0,0,1,0,1,2,0,0,0
2022-04-03 05:00:00,2022,4,3,5,1,2,10,18,0,0,0,0,0,0,0,0,0
2022-04-03 06:00:00,2022,4,3,6,1,0,10,0,0,0,1,1,2,2,4,0,0
2022-04-03 06:00:00,2022,4,3,6,1,1,2,0,0,0,0,0,2,0,0,0,0
2022-04-03 06:00:00,2022,4,3,6,1,2,5,25,0,0,0,0,0,0,0,0,0
2022-04-03 07:00:00,2022,4,3,7,1,0,11,1,0,0,0,1,4,3,4,0,0
2022-04-03 07:00:00,2022,4,3,7,1,1,7,1,0,0,1,2,3,2,0,0,0
2022-04-03 07:00:00,2022,4,3,7,1,2,6,20,0,0,0,0,0,0,0,0,0
2022-04-03 08:00:00,2022,4,3,8,1,0,26,1,0,0,1,4,4,8,9,1,0
2022-04-03 08:00:00,2022,4,3,8,1,1,30,1,0,0,2,9,6,7,6,1,0
2022-04-03 08:00:00,2022,4,3,8,1,2,21,64,0,0,0,0,0,0,0,0,0
2022-04-03 09:00:00,2022,4,3,9,1,0,57,7,0,1,2,7,10,22,19,3,0
2022-04-03 09:00:00,2022,4,3,9,1,1,45,3,0,1,5,11,12,6,12,1,0
2022-04-03 09:00:00,2022,4,3,9,1,2,68,123,0,0,0,0,0,0,0,0,0
2022-04-03 10:00:00,2022,4,3,10,1,0,27,2,1,2,3,1,7,9,6,0,0
2022-04-03 10:00:00,2022,4,3,10,1,1,63,4,0,1,5,23,23,11,4,0,0
